name,city,query,latitude,longitude
78 • Azur Hotel,,78 • Azur Hotel,,
,Vancouver,,,
79 • Blue Horizon Hotel,,79 • Blue Horizon Hotel,,
,Vancouver,,,
80 • Coast Coal Harbour Hotel,,80 • Coast Coal Harbour Hotel,,
,Vancouver,,,
81 • Fairmont Hotel Vancouver,,81 • Fairmont Hotel Vancouver,,
,Vancouver,,,
84 • Fairmont Pacific Rim,,84 • Fairmont Pacific Rim,,
,Vancouver,,,
87 • Fairmont Waterfront,,87 • Fairmont Waterfront,,
,Vancouver,,,
90 • Georgian Court Hotel,,90 • Georgian Court Hotel,,
,Vancouver,,,
91 • Holiday Inn Downtown,,91 • Holiday Inn Downtown,,
,Vancouver,,,
91 • L’Hermitage Hotel,,91 • L’Hermitage Hotel,,
,Vancouver,,,
92 • Loden Hotel,,92 • Loden Hotel,,
,Vancouver,,,
94 • Opus Hotel Vancouver,,94 • Opus Hotel Vancouver,,
,Vancouver,,,
95 • Pan Pacific Vancouver,,95 • Pan Pacific Vancouver,,
,Vancouver,,,
97 • Paradox Hotel - New to Tariff,,97 • Paradox Hotel - New to Tariff,,
,Vancouver,,,
99 • Pinnacle Hotel Harbour Front,,99 • Pinnacle Hotel Harbour Front,,
,Vancouver,,,
99 • Rosedale on Robson Suite Hotel,,99 • Rosedale on Robson Suite Hotel,,
,Vancouver,,,
100 • Sandman Hotel Vancouver City Centre,,100 • Sandman Hotel Vancouver City Centre,,
,Vancouver,,,
100 • Sandman Suites on Davie,,100 • Sandman Suites on Davie,,
,Vancouver,,,
101 • Shangri-La Vancouver,,101 • Shangri-La Vancouver,,
,Vancouver,,,
102 • Sheraton Wall Centre Hotel,,102 • Sheraton Wall Centre Hotel,,
,Vancouver,,,
103 • Sutton Place Hotel,,103 • Sutton Place Hotel,,
,Vancouver,,,
105 • Times Square Suites Hotel,,105 • Times Square Suites Hotel,,
,Vancouver,,,
106 • Wedgewood Hotel,Vancouver,106 • Wedgewood Hotel,,
